TeamName,RA/G,DefEff,E,DP,W,L,W-L%,ERA,tSho,H,ER,HR,BB,SO,R/G,R,H 1,RBI,SB,SO 1,BA,OBP,SLG,GDP,LOB,salary,WAR
2016 SFG,3.9,0.702,72,136,87,75,0.537,3.65,11,1334,593,158,439,1309,4.41,715,1437,675,79,1107,0.258,0.329,0.398,120,1188,146536553,43.2
2016 STL,4.4,0.679,107,169,86,76,0.531,4.08,10,1432,656,159,475,1290,4.81,779,1415,745,35,1318,0.255,0.325,0.442,117,1113,149355870,39.1
2016 TBR,4.4,0.687,94,129,68,94,0.42,4.2,8,1395,665,210,491,1357,4.15,672,1333,647,60,1482,0.243,0.307,0.426,88,1060,63908549,32.4
2016 TEX,4.67,0.692,97,190,95,67,0.586,4.37,6,1441,700,201,534,1154,4.72,765,1446,746,99,1220,0.262,0.322,0.433,114,1038,163021690,35.6
2016 TOR,4.11,0.703,88,144,89,73,0.549,3.78,10,1340,613,183,461,1314,4.69,759,1358,728,54,1362,0.248,0.33,0.426,153,1120,152285479,44.0
2016 WSN,3.78,0.7,73,142,95,67,0.586,3.51,12,1272,570,155,468,1476,4.71,763,1403,735,121,1252,0.256,0.326,0.426,102,1105,139383852,43.6
2015 ARI,4.4,0.693,86,146,79,83,0.488,4.04,12,1450,659,182,500,1215,4.44,720,1494,680,132,1312,0.264,0.324,0.414,134,1153,76781801,37.1
2015 ATL,4.69,0.681,90,186,67,95,0.414,4.41,10,1462,698,170,550,1148,3.54,573,1361,548,69,1107,0.251,0.314,0.359,148,1145,110838389,16.5
2015 BAL,4.28,0.691,77,134,81,81,0.5,4.05,10,1406,646,174,483,1233,4.4,713,1370,686,44,1331,0.25,0.307,0.421,127,990,117784476,35.0
2015 BOS,4.65,0.68,97,148,78,84,0.481,4.31,10,1486,694,178,478,1218,4.62,748,1495,706,71,1148,0.265,0.325,0.415,127,1142,183481478,35.9
2015 CHC,3.75,0.695,111,120,97,65,0.599,3.36,21,1276,546,134,407,1431,4.25,689,1341,657,95,1518,0.244,0.321,0.398,101,1165,132993810,40.3
2015 CHW,4.33,0.673,101,159,76,86,0.469,3.98,9,1443,643,162,474,1359,3.84,622,1381,595,68,1231,0.25,0.306,0.38,125,1065,118875487,24.7
2015 CIN,4.65,0.689,90,131,64,98,0.395,4.33,8,1436,700,177,544,1252,3.95,640,1382,613,134,1255,0.248,0.312,0.394,112,1148,112333097,23.3
2015 CLE,3.98,0.699,79,136,81,80,0.503,3.67,10,1274,584,161,425,1407,4.16,669,1395,640,86,1157,0.256,0.325,0.401,134,1147,77404413,39.5
2015 COL,5.21,0.668,95,171,68,94,0.42,5.04,4,1579,799,183,579,1112,4.55,737,1479,702,97,1283,0.265,0.315,0.432,114,1016,106860781,21.7
2015 DET,4.99,0.69,86,165,74,87,0.46,4.64,12,1491,746,193,489,1100,4.28,689,1515,660,83,1259,0.27,0.328,0.42,152,1111,162160921,25.6
2015 HOU,3.81,0.701,85,131,86,76,0.531,3.57,13,1308,572,148,423,1280,4.5,729,1363,691,121,1392,0.25,0.315,0.437,102,1036,81450835,46.1
2015 KCR,3.96,0.701,88,138,95,67,0.586,3.73,8,1372,601,155,489,1160,4.47,724,1497,689,104,973,0.269,0.322,0.412,133,1079,126529835,42.1
2015 LAA,4.17,0.701,93,108,85,77,0.525,3.94,12,1355,630,166,466,1221,4.08,661,1331,621,52,1150,0.246,0.307,0.396,116,1013,151348162,30.1
2015 LAD,3.67,0.692,75,133,92,70,0.568,3.44,21,1317,553,145,395,1396,4.12,667,1346,638,59,1258,0.25,0.326,0.413,135,1121,301735080,43.7
2015 MIA,4.19,0.694,77,162,71,91,0.438,4.02,12,1374,638,141,508,1152,3.78,613,1420,575,112,1150,0.26,0.31,0.384,133,1059,63590525,25.0
2015 MIL,4.55,0.679,116,164,68,94,0.42,4.28,7,1432,682,176,517,1260,4.04,655,1378,624,84,1299,0.251,0.307,0.393,130,1026,94010873,18.7
2015 MIN,4.32,0.687,86,150,83,79,0.512,4.07,12,1506,653,163,413,1046,4.3,696,1349,661,70,1264,0.247,0.305,0.399,133,993,107981818,28.3
2015 NYM,3.78,0.697,88,131,90,72,0.556,3.43,14,1341,557,152,383,1337,4.22,683,1351,654,51,1290,0.244,0.312,0.4,130,1098,115698927,37.7
